Host            Firmware ID               Version                  
192.168.2.14    HGX_FW_FPGA_0             1.56                     
192.168.2.14    HGX_FW_FPGA_1             1.56                     
192.168.2.14    HGX_FW_GPU_0              97.10.4A.00.05           
192.168.2.14    HGX_FW_GPU_1              97.10.4A.00.05           
192.168.2.14    HGX_FW_GPU_2              97.10.4A.00.05           
192.168.2.14    HGX_FW_GPU_3              97.10.4A.00.05           
192.168.2.14    HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.2.14    HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.2.14    HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.2.14    HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.2.14    HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.14.5    BMC                       2.04.00                  
192.168.14.5    CPLD                      0.0.0                    
192.168.14.5    CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.14.5    CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.14.5    CX_0                      40.46.3048               
192.168.14.5    CX_1                      40.46.3048               
192.168.14.5    CX_2                      40.46.3048               
192.168.14.5    CX_3                      40.46.3048               
192.168.14.5    HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.14.5    HGX_FW_CPLD_0             0.22                     
192.168.14.5    HGX_FW_CPU_0              0301                     
192.168.14.5    HGX_FW_CPU_1              0301                     
192.168.14.5    HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.14.5    HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.14.5    HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.14.5    HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.14.5    HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.14.5    HGX_FW_FPGA_0             1.56                     
192.168.14.5    HGX_FW_FPGA_1             1.56                     
192.168.14.5    HGX_FW_GPU_0              97.10.4A.00.05           
192.168.14.5    HGX_FW_GPU_1              97.10.4A.00.05           
192.168.14.5    HGX_FW_GPU_2              97.10.4A.00.05           
192.168.14.5    HGX_FW_GPU_3              97.10.4A.00.05           
192.168.14.5    HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.14.5    HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.14.5    HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.14.5    HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.14.5    HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.2.16    BMC                       2.04.00                  
192.168.2.16    CPLD                      0.0.0                    
192.168.2.16    CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.2.16    CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.2.16    CX_0                      40.46.3048               
192.168.2.16    CX_1                      40.46.3048               
192.168.2.16    CX_2                      40.46.3048               
192.168.2.16    CX_3                      40.46.3048               
192.168.2.16    HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.2.16    HGX_FW_CPLD_0             0.22                     
192.168.2.16    HGX_FW_CPU_0              0301                     
192.168.2.16    HGX_FW_CPU_1              0301                     
192.168.2.16    HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.2.16    HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.2.16    HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.2.16    HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.2.16    HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.2.16    HGX_FW_FPGA_0             1.56                     
192.168.2.16    HGX_FW_FPGA_1             1.56                     
192.168.2.16    HGX_FW_GPU_0              97.10.4A.00.05           
192.168.2.16    HGX_FW_GPU_1              97.10.4A.00.05           
192.168.2.16    HGX_FW_GPU_2              97.10.4A.00.05           
192.168.2.16    HGX_FW_GPU_3              97.10.4A.00.05           
192.168.2.16    HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.2.16    HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.2.16    HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.2.16    HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.2.16    HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.2.18    BMC                       2.04.00                  
192.168.2.18    CPLD                      0.0.0                    
192.168.2.18    CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.2.18    CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.2.18    CX_0                      40.46.3048               
192.168.2.18    CX_1                      40.46.3048               
192.168.2.18    CX_2                      40.46.3048               
192.168.2.18    CX_3                      40.46.3048               
192.168.2.18    HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.2.18    HGX_FW_CPLD_0             0.22                     
192.168.2.18    HGX_FW_CPU_0              0301                     
192.168.2.18    HGX_FW_CPU_1              0301                     
192.168.2.18    HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.2.18    HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.2.18    HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.2.18    HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.2.18    HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.2.18    HGX_FW_FPGA_0             1.56                     
192.168.2.18    HGX_FW_FPGA_1             1.56                     
192.168.2.18    HGX_FW_GPU_0              97.10.4A.00.05           
192.168.2.18    HGX_FW_GPU_1              97.10.4A.00.05           
192.168.2.18    HGX_FW_GPU_2              97.10.4A.00.05           
192.168.2.18    HGX_FW_GPU_3              97.10.4A.00.05           
192.168.2.18    HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.2.18    HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.2.18    HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.2.18    HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.2.18    HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.2.17    BMC                       2.04.00                  
192.168.2.17    CPLD                      0.0.0                    
192.168.2.17    CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.2.17    CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.2.17    CX_0                      40.46.3048               
192.168.2.17    CX_1                      40.46.3048               
192.168.2.17    CX_2                      40.46.3048               
192.168.2.17    CX_3                      40.46.3048               
192.168.2.17    HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.2.17    HGX_FW_CPLD_0             0.22                     
192.168.2.17    HGX_FW_CPU_0              0301                     
192.168.2.17    HGX_FW_CPU_1              0301                     
192.168.2.17    HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.2.17    HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.2.17    HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.2.17    HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.2.17    HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.2.17    HGX_FW_FPGA_0             1.56                     
192.168.2.17    HGX_FW_FPGA_1             1.56                     
192.168.2.17    HGX_FW_GPU_0              97.10.4A.00.05           
192.168.2.17    HGX_FW_GPU_1              97.10.4A.00.05           
192.168.2.17    HGX_FW_GPU_2              97.10.4A.00.05           
192.168.2.17    HGX_FW_GPU_3              97.10.4A.00.05           
192.168.2.17    HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.2.17    HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.2.17    HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.2.17    HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.2.17    HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.2.19    BMC                       2.04.00                  
192.168.2.19    CPLD                      0.0.0                    
192.168.2.19    CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.2.19    CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.2.19    CX_0                      40.46.3048               
192.168.2.19    CX_1                      40.46.3048               
192.168.2.19    CX_2                      40.46.3048               
192.168.2.19    CX_3                      40.46.3048               
192.168.2.19    HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.2.19    HGX_FW_CPLD_0             0.22                     
192.168.2.19    HGX_FW_CPU_0              0301                     
192.168.2.19    HGX_FW_CPU_1              0301                     
192.168.2.19    HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.2.19    HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.2.19    HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.2.19    HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.2.19    HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.2.19    HGX_FW_FPGA_0             1.56                     
192.168.2.19    HGX_FW_FPGA_1             1.56                     
192.168.2.19    HGX_FW_GPU_0              97.10.4A.00.05           
192.168.2.19    HGX_FW_GPU_1              97.10.4A.00.05           
192.168.2.19    HGX_FW_GPU_2              97.10.4A.00.05           
192.168.2.19    HGX_FW_GPU_3              97.10.4A.00.05           
192.168.2.19    HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.2.19    HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.2.19    HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.2.19    HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.2.19    HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.13.79   BMC                       2.04.00                  
192.168.13.79   CPLD                      0.0.0                    
192.168.13.79   CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.13.79   CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.13.79   CX_0                      40.46.3048               
192.168.13.79   CX_1                      40.46.3048               
192.168.13.79   CX_2                      40.46.3048               
192.168.13.79   CX_3                      40.46.3048               
192.168.13.79   HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.13.79   HGX_FW_CPLD_0             0.22                     
192.168.13.79   HGX_FW_CPU_0              0301                     
192.168.13.79   HGX_FW_CPU_1              0301                     
192.168.13.79   HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.13.79   HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.13.79   HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.13.79   HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.13.79   HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.13.79   HGX_FW_FPGA_0             1.56                     
192.168.13.79   HGX_FW_FPGA_1             1.56                     
192.168.13.79   HGX_FW_GPU_0              97.10.4A.00.05           
192.168.13.79   HGX_FW_GPU_1              97.10.4A.00.05           
192.168.13.79   HGX_FW_GPU_2              97.10.4A.00.05           
192.168.13.79   HGX_FW_GPU_3              97.10.4A.00.05           
192.168.13.79   HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.13.79   HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.13.79   HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.13.79   HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.13.79   HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.13.166  BMC                       2.04.00                  
192.168.13.166  CPLD                      0.0.0                    
192.168.13.166  CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.13.166  CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.13.166  CX_0                      40.46.3048               
192.168.13.166  CX_1                      40.46.3048               
192.168.13.166  CX_2                      40.46.3048               
192.168.13.166  CX_3                      40.46.3048               
192.168.13.166  HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.13.166  HGX_FW_CPLD_0             0.22                     
192.168.13.166  HGX_FW_CPU_0              0301                     
192.168.13.166  HGX_FW_CPU_1              0301                     
192.168.13.166  HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.13.166  HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.13.166  HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.13.166  HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.13.166  HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.13.166  HGX_FW_FPGA_0             1.56                     
192.168.13.166  HGX_FW_FPGA_1             1.56                     
192.168.13.166  HGX_FW_GPU_0              97.10.4A.00.05           
192.168.13.166  HGX_FW_GPU_1              97.10.4A.00.05           
192.168.13.166  HGX_FW_GPU_2              97.10.4A.00.05           
192.168.13.166  HGX_FW_GPU_3              97.10.4A.00.05           
192.168.13.166  HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.13.166  HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.13.166  HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.13.166  HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.13.166  HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.2.22    BMC                       2.04.00                  
192.168.2.22    CPLD                      0.0.0                    
192.168.2.22    CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.2.22    CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.2.22    CX_0                      40.46.3048               
192.168.2.22    CX_1                      40.46.3048               
192.168.2.22    CX_2                      40.46.3048               
192.168.2.22    CX_3                      40.46.3048               
192.168.2.22    HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.2.22    HGX_FW_CPLD_0             0.22                     
192.168.2.22    HGX_FW_CPU_0              0301                     
192.168.2.22    HGX_FW_CPU_1              0301                     
192.168.2.22    HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.2.22    HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.2.22    HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.2.22    HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.2.22    HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.2.22    HGX_FW_FPGA_0             1.56                     
192.168.2.22    HGX_FW_FPGA_1             1.56                     
192.168.2.22    HGX_FW_GPU_0              97.10.4A.00.05           
192.168.2.22    HGX_FW_GPU_1              97.10.4A.00.05           
192.168.2.22    HGX_FW_GPU_2              97.10.4A.00.05           
192.168.2.22    HGX_FW_GPU_3              97.10.4A.00.05           
192.168.2.22    HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.2.22    HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.2.22    HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.2.22    HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.2.22    HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.2.23    BMC                       2.04.00                  
192.168.2.23    CPLD                      0.0.0                    
192.168.2.23    CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.2.23    CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.2.23    CX_0                      40.46.3048               
192.168.2.23    CX_1                      40.46.3048               
192.168.2.23    CX_2                      40.46.3048               
192.168.2.23    CX_3                      40.46.3048               
192.168.2.23    HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.2.23    HGX_FW_CPLD_0             0.22                     
192.168.2.23    HGX_FW_CPU_0              0301                     
192.168.2.23    HGX_FW_CPU_1              0301                     
192.168.2.23    HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.2.23    HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.2.23    HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.2.23    HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.2.23    HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.2.23    HGX_FW_FPGA_0             1.56                     
192.168.2.23    HGX_FW_FPGA_1             1.56                     
192.168.2.23    HGX_FW_GPU_0              97.10.4A.00.05           
192.168.2.23    HGX_FW_GPU_1              97.10.4A.00.05           
192.168.2.23    HGX_FW_GPU_2              97.10.4A.00.05           
192.168.2.23    HGX_FW_GPU_3              97.10.4A.00.05           
192.168.2.23    HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.2.23    HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.2.23    HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.2.23    HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.2.23    HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.2.24    BMC                       2.04.00                  
192.168.2.24    CPLD                      0.0.0                    
192.168.2.24    CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.2.24    CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.2.24    CX_0                      40.46.3048               
192.168.2.24    CX_1                      40.46.3048               
192.168.2.24    CX_2                      40.46.3048               
192.168.2.24    CX_3                      40.46.3048               
192.168.2.24    HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.2.24    HGX_FW_CPLD_0             0.22                     
192.168.2.24    HGX_FW_CPU_0              0301                     
192.168.2.24    HGX_FW_CPU_1              0301                     
192.168.2.24    HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.2.24    HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.2.24    HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.2.24    HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.2.24    HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.2.24    HGX_FW_FPGA_0             1.56                     
192.168.2.24    HGX_FW_FPGA_1             1.56                     
192.168.2.24    HGX_FW_GPU_0              97.10.4A.00.05           
192.168.2.24    HGX_FW_GPU_1              97.10.4A.00.05           
192.168.2.24    HGX_FW_GPU_2              97.10.4A.00.05           
192.168.2.24    HGX_FW_GPU_3              97.10.4A.00.05           
192.168.2.24    HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.2.24    HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.2.24    HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.2.24    HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.2.24    HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.2.25    BMC                       2.04.00                  
192.168.2.25    CPLD                      0.0.0                    
192.168.2.25    CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.2.25    CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.2.25    CX_0                      40.46.3048               
192.168.2.25    CX_1                      40.46.3048               
192.168.2.25    CX_2                      40.46.3048               
192.168.2.25    CX_3                      40.46.3048               
192.168.2.25    HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.2.25    HGX_FW_CPLD_0             0.22                     
192.168.2.25    HGX_FW_CPU_0              0301                     
192.168.2.25    HGX_FW_CPU_1              0301                     
192.168.2.25    HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.2.25    HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.2.25    HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.2.25    HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.2.25    HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.2.25    HGX_FW_FPGA_0             1.56                     
192.168.2.25    HGX_FW_FPGA_1             1.56                     
192.168.2.25    HGX_FW_GPU_0              97.10.4A.00.05           
192.168.2.25    HGX_FW_GPU_1              97.10.4A.00.05           
192.168.2.25    HGX_FW_GPU_2              97.10.4A.00.05           
192.168.2.25    HGX_FW_GPU_3              97.10.4A.00.05           
192.168.2.25    HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.2.25    HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.2.25    HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.2.25    HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.2.25    HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.2.26    BMC                       2.04.00                  
192.168.2.26    CPLD                      0.0.0                    
192.168.2.26    CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.2.26    CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.2.26    CX_0                      40.46.3048               
192.168.2.26    CX_1                      40.46.3048               
192.168.2.26    CX_2                      40.46.3048               
192.168.2.26    CX_3                      40.46.3048               
192.168.2.26    HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.2.26    HGX_FW_CPLD_0             0.22                     
192.168.2.26    HGX_FW_CPU_0              0301                     
192.168.2.26    HGX_FW_CPU_1              0301                     
192.168.2.26    HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.2.26    HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.2.26    HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.2.26    HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.2.26    HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.2.26    HGX_FW_FPGA_0             1.56                     
192.168.2.26    HGX_FW_FPGA_1             1.56                     
192.168.2.26    HGX_FW_GPU_0              97.10.4A.00.05           
192.168.2.26    HGX_FW_GPU_1              97.10.4A.00.05           
192.168.2.26    HGX_FW_GPU_2              97.10.4A.00.05           
192.168.2.26    HGX_FW_GPU_3              97.10.4A.00.05           
192.168.2.26    HGX_InfoROM_GPU_0         G548.0301.00.03          
